,col_num,name,owned
46,E940,Glow-In-The-Dark,0
47,5282,Metallic Pearl - Gold,0
48,5283,Metallic Pearl - Silver,0
49,4010,Variations - Winter Sky,0
50,4015,Variations - Stormy Skies,0
51,4020,Variations - Tropical Waters,0
53,4030,Variations - Monet's Garden,0
54,4040,Variations - Water Lillies,0
56,4050,Variations - Roaming Pastures,0
57,4060,Variations - Weeping Willow,0
58,4065,Variations - Morning Meadow,0
59,4070,Variations - Autumn Leaves,0
60,4075,Variations - Wheat Fields,0
62,4080,Variations - Daffodil Fields,0
63,4090,Variations - Golden Oasis,0
66,4120,Variations - Tropical Sunset,0
67,* Hard to find threads,,0
0,4124.0,Variations - Bonfire,0
1,4126.0,Variations - Desert Canyon,0
2,4128.0,Variations - Gold Coast,0
4,4140.0,Variations - Driftwood,0
6,4150.0,Variations - Desert Sand,0
7,4160.0,Variations - Glistening Pearl,0
8,4170.0,Variations - Whispering Wind,0
9,4180.0,Variations - Rose Petals,0
11,4200.0,Variations - Wild Fire,0
13,4215.0,Variations - Northern Lights,0
14,4220.0,Variations - Lavender Fields,0
16,4235.0,Variations - Arctic Sea,0
17,4240.0,Variations - Mid Summer Night,0
0,4500,Coloris - Columbine Gardens,0
1,4501,Coloris - Wildflowers,0
2,4502,Coloris - Camelia,0
3,4503,Coloris - Wisteria,0
4,4504,Coloris - Hydrangea,0
5,4505,Coloris - Heather,0
6,4506,Coloris - Spring,0
7,4507,Coloris - Bouginvillea,0
8,4508,Coloris - Frosted Countryside,0
9,4509,Coloris - Granite Coast,0
10,4510,Coloris - Maple,0
11,4511,Coloris - Indian Summer,0
12,4512,Coloris - States,0
13,4513,Coloris - London,0
14,4514,Coloris - Venice,0
15,4515,Coloris - Paris,0
16,4516,Coloris - Black Forest,0
17,4517,Coloris - Elves,0
18,4518,Coloris - Cottage,0
19,4519,Coloris - Jingle Bells,0
20,4520,Coloris - Christmas Story,0
21,4521,Coloris - Wide Open Spaces,0
22,4522,Coloris - Canadian Night,0
23,4523,Coloris - North Wind,0
24,CBlanc,Étoile -  White,0
25,CEcru,Étoile - Ecru/off-white,0
26,C310,Étoile - Black,0
27,C318,Étoile - Steel Gray - Light,0
28,C321,Étoile - Red,0
29,C415,Étoile - Pearl Grey,0
30,C433,Étoile - Brown - Medium,0
31,C436,Étoile - Tan,0
32,C444,Étoile - Lemon - Dark,0
33,C471,Étoile - Avocado Green - Very Light,0
34,C519,Étoile - Sky Blue,0
35,C550,Étoile - Violet - Very Dark,0
36,C554,Étoile - Violet - Light,0
37,C600,Étoile - Cranberry - Very Dark,0
38,C603,Étoile - Cranberry,0
39,C666,Étoile - Red - Bright,0
40,C699,Étoile - Green,0
41,C725,Étoile - Topaz,0
42,C738,Étoile - Tan - Very Light,0
43,C740,Étoile - Tangerine,0
44,C798,Étoile - Delft Blue - Dark,0
45,C814,Étoile - Garnet - Dark,0
46,C816,Étoile - Garnet,0
47,C820,Étoile - Royal Blue - Very Dark,0
48,C823,Étoile - Blue - Dark,0
49,C840,Étoile - Beige Brown - Medium,0
50,C890,Étoile - Pistachio Green - Ultra Dark,0
51,C900,Étoile - Burnt Orange - Dark,0
52,C907,Étoile - Parrot Green - Light,0
53,C915,Étoile - Plum - Dark,0
54,C938,Étoile - Coffee Brown - Ultra Dark,0
55,C972,Étoile - Canary - Deep,0
56,C995,Étoile - Electric Blue - Dark,0
57,C3371,Étoile - Black Brown,0
58,C3799,Étoile - Pewter Gray - Very Dark,0
60,Updated June 2021,,0
0,S5200,Satin - Snow White,0
1,S211,Satin - Lavender,0
